ZONA,FREQUENCIA
X,32717
194,8850
178,3873
53,18760
199,1214
160,7762
25,8714
179,6214
57,7997
54,11761
174,4186
59,48178
116,11468
114,7534
124,28814
165,2604
71,36182
216,7537
98,3644
111,3404
77,16353
148,6115
105,5819
133,3737
144,3717
69,15595
63,4546
91,4176
119,4398
136,5132
93,10178
141,14372
137,3543
70,5161
67,7552
109,7438
90,5954
56,19204
94,10265
81,2950
80,2130
86,4274
132,6215
145,12751
104,16959
88,2103
128,4628
230,7185
66,4899
82,4947
146,10939
48,7954
99,1736
130,3656
140,4330
153,2691
106,5040
60,1052
47,7863
164,13782
87,12934
134,3367
152,7235
139,3465
110,2813
108,9789
103,9558
102,10527
113,13520
125,5325
51,6313
68,8220
65,12796
40,4873
31,3380
158,7278
155,3384
151,4815
78,698
135,4280
142,14238
115,1999
41,5851
126,9037
58,20993
55,14226
127,20020
52,13692
147,11725
39,3852
157,2339
218,4048
215,11161
76,9269
107,9431
100,4019
92,7179
149,2034
96,3089
95,1545
150,4078
163,8224
129,3928
131,6793
212,6710
23,10545
200,6763
143,4120
44,6521
26,9026
173,12798
138,1490
161,5225
180,4710
156,3954
74,12354
89,2460
84,6628
61,1956
42,8768
38,6495
43,6962
24,15528
33,205
186,1951
28,9187
211,4670
206,3097
188,6495
237,917
201,2096
72,17298
11,2816
217,2120
202,2385
35,8595
37,8001
45,5235
166,4164
209,5229
85,6967
222,1252
36,4219
3,4317
214,6166
244,1126
5,505
1,7553
83,2641
64,6619
187,1562
18,5602
13,4948
243,541
10,3981
189,3361
30,8050
195,1688
197,4575
213,1987
22,8196
32,5461
253,4800
50,3296
49,6906
219,3011
46,8426
101,3222
248,7848
208,2418
190,1751
181,1203
19,7339
120,536
79,4309
184,150
241,1958
223,1578
198,1699
17,3532
154,7928
x,98932
12,1762
203,1942
240,3402
16,6016
235,648
229,6900
170,4503
191,1898
75,963
27,2580
192,483
14,709
162,4301
97,4222
183,177
246,5029
8,1711
112,367
117,5398
210,1936
172,3607
196,1682
122,1082
207,966
73,289
21,1202
167,2408
236,1749
177,926
118,527
182,1180
176,2409
205,536
226,317
34,137
252,445
9,177
227,1030
15,269
242,514
20,2862
220,756
175,250
233,81
249,24
247,292
234,373
250,1621
185,170
171,588
169,374
204,263
62,423
159,1314
245,56
29,1469
7,320
228,490
238,1439
6,354
231,71
251,1707
121,55
225,51
2,323
168,10
193,15
232,37
123,19
4,5
224,9
239,39
221,37
